START_DATE,END_DATE,WEEK,MONTH,YEAR,CARRIER,ROUTE,Departures,PASSENGERS,DATE,WeekDay Name,Seasonality,Weather Condition,Holiday Status,Holiday_In_Week,Holiday_Names,SOURCE_SHEET
12/7/2020,12/11/2020,Dec 7-11,Dec,2020,Academy,Commuter Bus Departures,37,613,12/07/2020 - 12/11/2020,Monday,Winter,Cold / Wintry Mix,Regular Week,0,,Dec 7-11
12/7/2020,12/11/2020,Dec 7-11,Dec,2020,C & J Bus Lines,Commuter Bus Departures,1,8,12/07/2020 - 12/11/2020,Monday,Winter,Cold / Wintry Mix,Regular Week,0,,Dec 7-11
12/7/2020,12/11/2020,Dec 7-11,Dec,2020,Coach USA,Commuter Bus Departures,83,1605,12/07/2020 - 12/11/2020,Monday,Winter,Cold / Wintry Mix,Regular Week,0,,Dec 7-11
12/7/2020,12/11/2020,Dec 7-11,Dec,2020,Greyhound,Intercity Bus Departures,33,702,12/07/2020 - 12/11/2020,Monday,Winter,Cold / Wintry Mix,Regular Week,0,,Dec 7-11
12/7/2020,12/11/2020,Dec 7-11,Dec,2020,HCEE - Community,Commuter Bus Departures,74,1199,12/07/2020 - 12/11/2020,Monday,Winter,Cold / Wintry Mix,Regular Week,0,,Dec 7-11
12/7/2020,12/11/2020,Dec 7-11,Dec,2020,Lakeland,Commuter Bus Departures,13,280,12/07/2020 - 12/11/2020,Monday,s,Cold / Wintry Mix,Regular Week,0,,Dec 7-11
12/7/2020,12/11/2020,Dec 7-11,Dec,2020,Martz,Commuter Bus Departures,14,475,12/07/2020 - 12/11/2020,Monday,Winter,Cold / Wintry Mix,Regular Week,0,,Dec 7-11
12/7/2020,12/11/2020,Dec 7-11,Dec,2020,NJ Transit,Commuter Bus Departures,2199,27174,12/07/2020 - 12/11/2020,Monday,Winter,Cold / Wintry Mix,Regular Week,0,,Dec 7-11
12/7/2020,12/11/2020,Dec 7-11,Dec,2020,Peter Pan/Bonanza,Intercity Bus Departures,12,251,12/07/2020 - 12/11/2020,Monday,Winter,Cold / Wintry Mix,Regular Week,0,,Dec 7-11
12/7/2020,12/11/2020,Dec 7-11,Dec,2020,Trailways,Intercity Bus Departures,11,188,12/07/2020 - 12/11/2020,Monday,Winter,Cold / Wintry Mix,Regular Week,0,,Dec 7-11
12/7/2020,12/11/2020,Dec 7-11,Dec,2020,TransBridge,Commuter Bus Departures,12,310,12/07/2020 - 12/11/2020,Monday,Winter,Cold / Wintry Mix,Regular Week,0,,Dec 7-11
12/14/2020,12/18/2020,Dec 14-18,Dec,2020,Academy,Commuter Bus Departures,37,581,12/14/2020 - 12/18/2020,Monday,Winter,Cold / Wintry Mix,Regular Week,0,,Dec 14-18
12/14/2020,12/18/2020,Dec 14-18,Dec,2020,C & J Bus Lines,Commuter Bus Departures,1,8,12/14/2020 - 12/18/2020,Monday,Winter,Cold / Wintry Mix,Regular Week,0,,Dec 14-18
12/14/2020,12/18/2020,Dec 14-18,Dec,2020,Coach USA,Commuter Bus Departures,83,1604,12/14/2020 - 12/18/2020,Monday,Winter,Cold / Wintry Mix,Regular Week,0,,Dec 14-18
12/14/2020,12/18/2020,Dec 14-18,Dec,2020,Greyhound,Intercity Bus Departures,34,771,12/14/2020 - 12/18/2020,Monday,Winter,Cold / Wintry Mix,Regular Week,0,,Dec 14-18
12/14/2020,12/18/2020,Dec 14-18,Dec,2020,HCEE - Community,Commuter Bus Departures,75,1153,12/14/2020 - 12/18/2020,Monday,Winter,Cold / Wintry Mix,Regular Week,0,,Dec 14-18
12/14/2020,12/18/2020,Dec 14-18,Dec,2020,Lakeland,Commuter Bus Departures,12,271,12/14/2020 - 12/18/2020,Monday,Winter,Cold / Wintry Mix,Regular Week,0,,Dec 14-18
12/14/2020,12/18/2020,Dec 14-18,Dec,2020,Martz,Commuter Bus Departures,13,466,12/14/2020 - 12/18/2020,Monday,Winter,Cold / Wintry Mix,Regular Week,0,,Dec 14-18
12/14/2020,12/18/2020,Dec 14-18,Dec,2020,NJ Transit,Commuter Bus Departures,2039,26444,12/14/2020 - 12/18/2020,Monday,Winter,Cold / Wintry Mix,Regular Week,0,,Dec 14-18
12/14/2020,12/18/2020,Dec 14-18,Dec,2020,Peter Pan/Bonanza,Intercity Bus Departures,9,244,12/14/2020 - 12/18/2020,Monday,Winter,Cold / Wintry Mix,Regular Week,0,,Dec 14-18
12/14/2020,12/18/2020,Dec 14-18,Dec,2020,Trailways,Intercity Bus Departures,11,197,12/14/2020 - 12/18/2020,Monday,Winter,Cold / Wintry Mix,Regular Week,0,,Dec 14-18
12/14/2020,12/18/2020,Dec 14-18,Dec,2020,TransBridge,Commuter Bus Departures,12,307,12/14/2020 - 12/18/2020,Monday,Winter,Cold / Wintry Mix,Regular Week,0,,Dec 14-18
12/21/2020,12/25/2020,Dec 21-25,Dec,2020,Academy,Commuter Bus Departures,31,568,12/21/2020 - 12/25/2020,Monday,Winter,Cold / Wintry Mix,Christmas,1,Christmas Day,Dec 21-25
12/21/2020,12/25/2020,Dec 21-25,Dec,2020,C & J Bus Lines,Commuter Bus Departures,1,6,12/21/2020 - 12/25/2020,Monday,Winter,Cold / Wintry Mix,Christmas,1,Christmas Day,Dec 21-25
12/21/2020,12/25/2020,Dec 21-25,Dec,2020,Coach USA,Commuter Bus Departures,83,1475,12/21/2020 - 12/25/2020,Monday,Winter,Cold / Wintry Mix,Christmas,1,Christmas Day,Dec 21-25
12/21/2020,12/25/2020,Dec 21-25,Dec,2020,Greyhound,Intercity Bus Departures,40,1072,12/21/2020 - 12/25/2020,Monday,Winter,Cold / Wintry Mix,Christmas,1,Christmas Day,Dec 21-25
12/21/2020,12/25/2020,Dec 21-25,Dec,2020,HCEE - Community,Commuter Bus Departures,69,1172,12/21/2020 - 12/25/2020,Monday,Winter,Cold / Wintry Mix,Christmas,1,Christmas Day,Dec 21-25
12/21/2020,12/25/2020,Dec 21-25,Dec,2020,Lakeland,Commuter Bus Departures,13,263,12/21/2020 - 12/25/2020,Monday,Winter,Cold / Wintry Mix,Christmas,1,Christmas Day,Dec 21-25
12/21/2020,12/25/2020,Dec 21-25,Dec,2020,Martz,Commuter Bus Departures,13,487,12/21/2020 - 12/25/2020,Monday,Winter,Cold / Wintry Mix,Christmas,1,Christmas Day,Dec 21-25
12/21/2020,12/25/2020,Dec 21-25,Dec,2020,NJ Transit,Commuter Bus Departures,2125,25008,12/21/2020 - 12/25/2020,Monday,Winter,Cold / Wintry Mix,Christmas,1,Christmas Day,Dec 21-25
12/21/2020,12/25/2020,Dec 21-25,Dec,2020,Peter Pan/Bonanza,Intercity Bus Departures,9,244,12/21/2020 - 12/25/2020,Monday,Winter,Cold / Wintry Mix,Christmas,1,Christmas Day,Dec 21-25
12/21/2020,12/25/2020,Dec 21-25,Dec,2020,Trailways,Intercity Bus Departures,11,249,12/21/2020 - 12/25/2020,Monday,Winter,Cold / Wintry Mix,Christmas,1,Christmas Day,Dec 21-25
12/21/2020,12/25/2020,Dec 21-25,Dec,2020,TransBridge,Commuter Bus Departures,12,340,12/21/2020 - 12/25/2020,Monday,Winter,Cold / Wintry Mix,Christmas,1,Christmas Day,Dec 21-25
12/28/2020,12/31/2020,Dec 28-31,Dec,2020,Academy,Commuter Bus Departures,0,0,12/28/2020 - 12/31/2020,Monday,Winter,Cold / Wintry Mix,Christmas,0,,Dec 28-31
12/28/2020,12/31/2020,Dec 28-31,Dec,2020,C & J Bus Lines,Commuter Bus Departures,1,6,12/28/2020 - 12/31/2020,Monday,Winter,Cold / Wintry Mix,Christmas,0,,Dec 28-31
12/28/2020,12/31/2020,Dec 28-31,Dec,2020,Coach USA,Commuter Bus Departures,80,1316,12/28/2020 - 12/31/2020,Monday,Winter,Cold / Wintry Mix,Christmas,0,,Dec 28-31
12/28/2020,12/31/2020,Dec 28-31,Dec,2020,Greyhound,Intercity Bus Departures,36,977,12/28/2020 - 12/31/2020,Monday,Winter,Cold / Wintry Mix,Christmas,0,,Dec 28-31
12/28/2020,12/31/2020,Dec 28-31,Dec,2020,HCEE - Community,Commuter Bus Departures,0,0,12/28/2020 - 12/31/2020,Monday,Winter,Cold / Wintry Mix,Christmas,0,,Dec 28-31
12/28/2020,12/31/2020,Dec 28-31,Dec,2020,Lakeland,Commuter Bus Departures,12,224,12/28/2020 - 12/31/2020,Monday,Winter,Cold / Wintry Mix,Christmas,0,,Dec 28-31
12/28/2020,12/31/2020,Dec 28-31,Dec,2020,Martz,Commuter Bus Departures,13,429,12/28/2020 - 12/31/2020,Monday,Winter,Cold / Wintry Mix,Christmas,0,,Dec 28-31
12/28/2020,12/31/2020,Dec 28-31,Dec,2020,NJ Transit,Commuter Bus Departures,2001,22446,12/28/2020 - 12/31/2020,Monday,Winter,Cold / Wintry Mix,Christmas,0,,Dec 28-31
12/28/2020,12/31/2020,Dec 28-31,Dec,2020,Peter Pan/Bonanza,Intercity Bus Departures,10,275,12/28/2020 - 12/31/2020,Monday,Winter,Cold / Wintry Mix,Christmas,0,,Dec 28-31
12/28/2020,12/31/2020,Dec 28-31,Dec,2020,Trailways,Intercity Bus Departures,11,227,12/28/2020 - 12/31/2020,Monday,Winter,Cold / Wintry Mix,Christmas,0,,Dec 28-31
12/28/2020,12/31/2020,Dec 28-31,Dec,2020,TransBridge,Commuter Bus Departures,12,224,12/28/2020 - 12/31/2020,Monday,Winter,Cold / Wintry Mix,Christmas,0,,Dec 28-31
1/4/2021,1/8/2021,Jan 4-8,Jan,2021,Academy,Commuter Bus Departures,37,590,01/04/2021 - 01/08/2021,Monday,Winter,Cold / Snow,New Year's,0,,Jan 4-8
1/4/2021,1/8/2021,Jan 4-8,Jan,2021,Coach USA,Commuter Bus Departures,83,1604,01/04/2021 - 01/08/2021,Monday,Winter,Cold / Snow,New Year's,0,,Jan 4-8
1/4/2021,1/8/2021,Jan 4-8,Jan,2021,Greyhound,Intercity Bus Departures,34,900,01/04/2021 - 01/08/2021,Monday,Winter,Cold / Snow,New Year's,0,,Jan 4-8
1/4/2021,1/8/2021,Jan 4-8,Jan,2021,HCEE - Community,Commuter Bus Departures,75,1153,01/04/2021 - 01/08/2021,Monday,Winter,Cold / Snow,New Year's,0,,Jan 4-8
1/4/2021,1/8/2021,Jan 4-8,Jan,2021,Lakeland,Commuter Bus Departures,12,272,01/04/2021 - 01/08/2021,Monday,Winter,Cold / Snow,New Year's,0,,Jan 4-8
